Países,Tasa de mortalidad en siniestros de tránsito por cada 100 000 habitantes,"Tasa de mortalidad en siniestros de tránsito por cada 100 000 vehículos 
motorizados","Tasa de mortalidad en siniestros de tránsito por cada 1 000 000 kilómetros 
por vehículo [5]​","Total fallecidos
año más reciente
(ajustado/estimado
por el OMS)","Año, fuente
(fuente principal:
Reporte del OMS de 2015
Informaciones de 2013)",Nivel de Ingreso (según el reporte de la OMS de 2015),Tránsito por el lado izquierdo o derecho
Mundo,"17,4",,,1 250 000,,,
Africa,"26,6",574,,246 719[6]​,,,
Mediterráneo Oriental,"19,9",139,,122 730,,,
Pacífico Oeste,"17,3",69,,328 591,,,
Sudeste Asiático,"17,0",101,,316 080,,,
América,"15,9",33,,153 789,,,
Europa,"9,3",19,,84 589,,,
Afganistán,"15,5","722,4",n/a,4 734,2013,Bajo,Derecho
Albania,"15,1","107,2",n/a,478,2013,Medio,Derecho
Alemania,"4,3","6,8","4,9",3540,2013,Alto,Derecho
Algeria,"23,8","127,8",n/a,9 337,2013,Medio,Derecho
Andorra,"7,6","7,9",n/a,6,2013,Alto,Derecho
Angola,"26,9",992,n/a,5 769,2013,Medio,Derecho
Antigua y Barbuda,"6,7",20,n/a,6,2013,Alto,Izquierdo
Arabia Saudita,"27,4","119,7",n/a,7898,2013,Alto,Derecho
Argentina,"13,6","24,3",n/a,5 619,2013,Medio,Derecho
Armenia,"18,3","18,2",n/a,546,2013,Medio,Derecho
Australia,"5,4","7,3","5,2",12 52,2013,Alto,Izquierdo
Austria,"5,4","7,1","5,8",455,2013,Alto,Derecho
Azerbaiyán,10,83,n/a,943,2013,Medio,Derecho
Bahamas,"13,8",36,n/a,52,2013,Alto,Izquierdo
Baréin,"8,0","19,6",n/a,107,2013,Alto,Derecho
Bangladés,"13,6",1020.6,n/a,21 316,2013,Bajo,Izquierdo
Barbados,"6,7","16,9",n/a,19,2013,Alto,Izquierdo
Bielorrusia,"13,7","32,9",n/a,1282,2013,Medio,Derecho
Belgica,"6,7",10.7,"7,3",746,2013,Alto,Derecho
Belice,"24,4",26,n/a,81,2013,Medio,Derecho
Benín,"27,7","8177,2",n/a,2855,2013,Bajo,Derecho
Birmania,20.3,250.8,n/a,10 809,2013,Bajo,Derecho
Bután,"15,1","167,2",n/a,114,2013,Medio,Izquierdo
Bolivia,"23,2","205,2",n/a,3476,2013,Medio,Derecho
Bosnia y Herzegovina,"17,7","76,7",n/a,676,2013,Medio,Derecho
Botsuana,"23,6","91,6",n/a,477,2013,Medio,Izquierdo
Brasil,"23,4","57,5",n/a,46 935,2013,Medio,Derecho
Bulgaria,"8,3","17,2",n/a,601,2013,Medio,Derecho
Burkina Faso,30,"328,1",n/a,5 072,2013,Bajo,Derecho
Camboya,"17,4","107,2",n/a,2 635,2013,Bajo,Derecho
Camerún,"27,6","1385,1",n/a,6136,2013,Medio,Derecho
Canadá,"6,0","9,5","6,2",2114,2013,Alto,Derecho
Cabo Verde,"26,1",229,n/a,130,2013,Medio,Derecho
Catar,"15,2",50.9,n/a,330,2013,Alto,Derecho
República Centroafricana,"32,4","4336,5",n/a,1495,2013,Bajo,Derecho
Chad,"24,1",497,n/a,3089,2013,Bajo,Derecho
Chile,"12,4","51,1",n/a,2179,2013,Alto,Derecho
China,"18,8","104,5",n/a,261 367,2013,Medio,Derecho
Colombia,"16,8","83,3",n/a,8107,2013,Medio,Derecho
Congo,"26,4",1063,n/a,1174,2013,Medio,Derecho
Islas Cooks,"24,2",40.2,n/a,5,2013,Medio,Izquierdo
Corea del sur,"9,3",20.6,"15,6",4777,2014[7]​,Alto,Derecho
Costa de Marfil,"24,2","828,9",n/a,4924,2013,Medio,Derecho
Costa Rica,"13,9","38,4",n/a,676,2013,Medio,Derecho
23x23px Croacia,"9,2","21,1",n/a,395,2013,Alto,Derecho
Cuba,"7,5","133,7",n/a,840,2013,Medio,Derecho
Chipre,"5,2","9,2",n/a,59,2013,Alto,Izquierdo
República Checa,"6,1","8,5","13,9",654,2013,Alto,Derecho
República Democrática del Congo,"33,2","6405,4",n/a,22 419,2013,Bajo,Derecho
Dinamarca,"3,5","6,7",4,196,2013,Alto,Derecho
Dominica,"15,3","44,7",n/a,11,2013,Medio,Izquierdo
República Dominicana,"29,3","94,9",n/a,3052,2013,Medio,Derecho
Ecuador,20.1,"183,8",n/a,3164,2013,Medio,Derecho
Egipto,"12,8","148,7",n/a,10 466,2013,Medio,Derecho
El Salvador,"21,1","163,7",n/a,1339,2013,Medio,Derecho
Emiratos Árabes Unidos,10.9,"38,2",n/a,1021,2013,Alto,Derecho
Eritrea,"24,1","2171,5",n/a,1527,2013,Bajo,Derecho
Eslovaquia,"6,6","13,7",n/a,360,2013,Alto,Derecho
Eslovenia,"6,4","9,5","7,6",132,2013,Alto,Derecho
España,"3,7","5,3","7,8",1730,2013,Alto,Derecho
Estados Unidos,10.6,"12,9","7,1",34 064,2013,Alto,Derecho
Estonia,"7,0","11,8",n/a,90,2013,Alto,Derecho
Etiopía,"25,3","4984,3",n/a,23 837,2013,Bajo,Derecho
Filipinas,10.5,135,n/a,10 379,2013,Medio,Derecho
Finlandia,"4,8","4,4","4,8",258,2013,Alto,Derecho
Francia,"5,1","7,6","5,8",3268,2013,Alto,Derecho
Fiyi,"5,8","58,9",n/a,51,2013,Medio,Izquierdo
Gabón,"22,9","196,4",n/a,383,2013,Medio,Derecho
Gambia,"29,4","998,7",n/a,544,2013,Bajo,Derecho
Georgia,"11,8",54,n/a,514,2013,Medio,Derecho
Ghana,"26,2","443,1",n/a,6789,2013,Medio,Derecho
Grecia,"9,1","12,6",n/a,1013,2013,Alto,Derecho
Guatemala,"19,0","114,7",n/a,2939,2013,Medio,Derecho
Guinea,"27,3","9462,5",n/a,3211,2013,Bajo,Derecho
Guinea-Bisáu,"27,5","751,9",n/a,468,2013,Bajo,Derecho
Guyana,"17,3","864,4",n/a,138,2013,Medio,Izquierdo
Honduras,"17,4","1021,7",n/a,1408,2013,Medio,Derecho
Hungría,"7,7",20.7,n/a,765,2013,Medio,Derecho
Islandia,"4,6","6,1","4,7",15,2013,Alto,Derecho
India,"16,6",130.1,n/a,238 562,2013,Medio,Izquierdo
Indonesia,"15,3","36,7",n/a,38 279,2013,Medio,Izquierdo
Irán,"32,1","92,7",n/a,24 896,2013,Medio,Derecho
Irak,20.2,"151,2",n/a,6826,2013,Medio,Derecho
Irlanda,"4,1","7,6","3,9",188,2013,Alto,Izquierdo
Israel,"3,6","9,7","5,3",277,2013,Alto,Derecho
Italia,"6,1","7,3",n/a,3753,2013,Alto,Derecho
Jamaica,"11,5","61,7",n/a,320,2013,Medio,Izquierdo
Japón,"4,7","6,5",8,5971,2013,Alto,Izquierdo
Jordania,"26,3","151,4",n/a,1913,2013,Medio,Derecho
Kazajistán,"24,2","101,4",n/a,3983,2013,Medio,Derecho
Kenia,"29,1",640.7,n/a,12 891,2013,Bajo,Izquierdo
Kiribati,"2,9","86,9",n/a,3,2013,Medio,Izquierdo
Kuwait,"18,7","34,2",n/a,629,2013,Alto,Derecho
Kirguistán,"22,0","127,3",n/a,1220,2013,Medio,Derecho
Laos,"14,3","67,5",n/a,971,2013,Medio,Derecho
Letonia,10,"24,8",n/a,205,2013,Alto,Derecho
Líbano,"22,6","64,8",n/a,1088,2013,Medio,Derecho
Lesoto,"28,2","474,8",n/a,584,2013,Medio,Izquierdo
Liberia,"33,7","133,4",n/a,1448,2013,Bajo,Derecho
Libia,"73,4","128,2",n/a,4554,2013,Medio,Derecho
Lituania,10.6,"16,1",n/a,320,2013,Alto,Derecho
Luxemburgo,"8,7",10.7,n/a,46,2013,Alto,Derecho
Macedonia,"9,4","49,1",n/a,198,2013,Medio,Derecho
Madagascar,"28,4",2963,n/a,6506,2013,Bajo,Derecho
Malaui,"35,0",1310.4,n/a,5732,2013,Bajo,Izquierdo
Malasia,"24,0","29,9","12,6",7129,2013,Medio,Izquierdo
Maldivas,"3,5","19,5",n/a,12,2013,Medio,Izquierdo
Mali,"25,6","1352,5",n/a,3920,2013,Bajo,Derecho
Malta,"5,1","6,8",n/a,22,2013,Alto,Izquierdo
Marruecos,"18,0",209,n/a,6870,2013,Medio,Derecho
Islas Marshall,"5,7","141,8",n/a,3,2013,Medio,Derecho
Mauritania,"24,5","228,7",n/a,952,2013,Medio,Derecho
Mauricio,"12,2","35,6",n/a,158,2013,Medio,Izquierdo
México,"12,3",43,n/a,15 062,2013,Medio,Derecho
Micronesia,"1,9",24,n/a,2,2013,Medio,Derecho
Moldavia,"12,5","61,8",n/a,437,2013,Medio,Derecho
Mónaco,0,-,n/a,0,2013,Alto,Derecho
Mongolia,"21,0","88,4",n/a,597,2013,Medio,Derecho
Montenegro,10.5,"31,1",n/a,65,2016[8]​,Medio,Derecho
Mozambique,"31,6",1507,n/a,8173,2013,Bajo,Izquierdo
Namibia,"23,9","196,4",n/a,551,2013,Medio,Izquierdo
Nepal,"17,0","399,8",n/a,4713,2013,Bajo,Izquierdo
Nicaragua,"15,3","164,3",n/a,931,2013,Medio,Derecho
Níger,"26,4","1491,1",n/a,4706,2013,Bajo,Derecho
Nigeria,20.5,"615,4",n/a,35 621,2013,Medio,Derecho
Noruega,"2,2","3,1",n/a,112,2017[9]​,Alto,Derecho
Nueva Zelanda,"8,5[10]​","12,2","8,7[11]​",398,2017[12]​,Alto,Izquierdo
Omán,"25,4","85,3",n/a,924,2013,Alto,Derecho
Países Bajos,"3,4",6,"4,5",574,2013,Alto,Derecho
Pakistán,"14,2","283,9",n/a,25 781,2013,Medio,Izquierdo
Palaos,"4,8","14,1",n/a,1,2013,Medio,Derecho
Panamá,10,"38,4",n/a,386,2013,Medio,Derecho
Papúa Nueva Guinea,"16,8","1306,5",n/a,1232,2013,Medio,Izquierdo
Paraguay,20.7,"114,7",n/a,1408,2013,Medio,Derecho
Perú,"13,9","99,3",n/a,4234,2013,Medio,Derecho
Polonia,10.3,"15,8",n/a,3931,2013,Alto,Derecho
Portugal,"7,8","13,7",n/a,828,2013,Alto,Derecho
Reino Unido,"2,9","5,1","3,6",1827,2013,Alto,Izquierdo
Rumania,"8,7","31,4",n/a,1881,2013,Medio,Derecho
Rusia,"18,9","53,4",n/a,27 025,2013,Alto,Derecho
Ruanda,"32,1","3521,1",n/a,3782,2013,Bajo,Derecho
Santa Lucía,"18,1","2103,3",n/a,33,2013,Medio,Izquierdo
San Vincente y las Granadinas,"8,2","31,7",n/a,9,2013,Medio,Izquierdo
Samoa,"15,8","171,9",n/a,30,2013,Medio,Izquierdo
San Marino,"3,2","1,8",n/a,1,2013,Alto,Derecho
Santo Tomé y Príncipe,"31,1","5454,5",n/a,60,2013,Medio,Derecho
Senegal,"27,2","956,4",n/a,3844,2013,Medio,Derecho
Serbia,10.4,"34,5",n/a,735,2013,Medio,Derecho
Seychelles,"8,6",43,n/a,8,2013,Medio,Izquierdo
Sierra Leona,"27,3","2414,2",n/a,1661,2013,Bajo,Derecho
Singapur,"3,6",20.2,n/a,197,2013,Alto,Izquierdo
Islas Solomon,"19,2",240,n/a,108,2013,Medio,Izquierdo
Somalia,"25,4",4480.5,n/a,2664,2013,Bajo,Derecho
Sri Lanka,"17,4",70.9,n/a,3691,2013,Medio,Izquierdo
Sudáfrica,"25,1","133,9",n/a,13 273,2013,Medio,Izquierdo
Sudán,"24,3","2872,8",n/a,9221,2013,Medio,Derecho
Surinam,"19,1","49,7",n/a,103,2013,Medio,Izquierdo
Suazilandia,"24,2","1667,4",n/a,303,2013,Medio,Izquierdo
Suecia,"2,8","4,7","3,5",272,2013,Alto,Derecho
Suiza,"2,6","3,6","3,6",216,2016[13]​[14]​[15]​,Alto,Derecho
Taiwan,"6,8",n/a,n/a,1604,2016[16]​,Alto,Derecho
Tanzania,"32,9","1073,7",n/a,16 211,2013,Bajo,Izquierdo
Tailandia,"36,2","74,6",n/a,24 237,2013,Medio,Izquierdo
Tayikistán,"18,8","374,9",n/a,1543,2013,Bajo,Derecho
Timor Oriental,"16,6","295,8",n/a,188,2013,Medio,Izquierdo
Togo,"31,1","3653,4",n/a,2123,2013,Bajo,Derecho
Tonga,"7,6","98,1",n/a,8,2013,Medio,Izquierdo
Trinidad y Tobago,"14,1","58,9",n/a,189,2013,Alto,Izquierdo
Túnez,"24,4","154,4",n/a,2679,2013,Medio,Derecho
Turquía,"8,9","37,3",n/a,6687,2013,Medio,Derecho
Turkmenistán,"17,4","107,8",n/a,914,2009,Medio,Derecho
Ucrania,"13,5","35,3",n/a,5099,2012[17]​,Medio,Derecho
Uganda,"27,4","836,8",n/a,10 280,2013,Bajo,Izquierdo
Uruguay,"16,6","28,5",n/a,567,2013,Alto,Derecho
Uzbekistán,"11,2",,n/a,3240,2013,Medio,Derecho
Vanuatu,"16,6",300,n/a,42,2013,Medio,Derecho
Vietnam,"24,5",55,n/a,22 419,2013,Medio,Derecho
Yemen,"21,5","436,6",n/a,5248,2013,Medio,Derecho
Yibuti,"24,7",n/a,n/a,216,2013,Medio,Derecho
Zambia,"24,7",670.9,n/a,3586,2013,Medio,Izquierdo
Zimbabue,"28,2","429,8",n/a,3985,2013,Bajo,Izquierdo